Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,64.000000,64.150002,63.500000,63.700001,62.644245,383234
2017-03-21,63.349998,63.950001,62.450001,62.500000,61.464134,647237
2017-03-22,62.599998,63.450001,62.200001,63.150002,62.103363,543338
2017-03-23,63.950001,65.900002,63.750000,65.900002,64.807785,1080343
2017-03-24,66.099998,67.099998,65.800003,66.099998,65.004463,871633
2017-03-27,67.800003,68.500000,66.949997,68.000000,66.872986,1125301
2017-03-28,68.400002,69.000000,68.250000,69.000000,67.856407,720048
2017-03-29,69.349998,69.800003,69.099998,69.349998,68.200607,655136
2017-03-30,69.449997,69.500000,68.650002,69.500000,68.348122,600891
2017-03-31,69.650002,69.750000,69.150002,69.750000,68.593979,423212
2017-04-03,69.750000,70.300003,68.849998,68.900002,67.758064,705040
2017-04-04,68.800003,69.849998,68.750000,69.099998,67.954750,573187
2017-04-05,69.150002,69.400002,68.349998,68.449997,67.315521,558862
2017-04-06,67.650002,68.849998,67.400002,68.250000,67.118835,598198
2017-04-07,68.000000,68.250000,67.500000,67.750000,66.627121,660293
2017-04-10,68.599998,68.599998,67.699997,67.900002,66.774643,526788
2017-04-11,67.900002,68.150002,67.150002,67.650002,66.528778,717292
2017-04-12,67.949997,68.300003,67.400002,67.650002,66.528778,484818
2017-04-13,67.199997,67.599998,66.650002,66.849998,65.742035,540230
2017-04-18,67.550003,67.800003,65.599998,65.949997,64.856949,824014
2017-04-19,66.099998,67.449997,66.099998,67.050003,65.938721,823787
2017-04-20,67.000000,67.500000,66.800003,66.800003,65.692871,461000
2017-04-21,66.949997,67.099998,66.250000,66.650002,65.545349,463854
2017-04-24,67.400002,67.699997,66.699997,67.699997,67.218361,977531
2017-04-25,67.849998,68.000000,67.400002,67.650002,67.168724,434411
2017-04-26,67.750000,69.199997,67.550003,69.050003,68.558762,616930
2017-04-27,68.750000,69.699997,68.500000,69.400002,68.906273,550611
2017-04-28,69.550003,69.849998,69.050003,69.050003,68.558762,449764
2017-05-02,69.849998,69.849998,68.849998,69.300003,68.806984,522036
2017-05-03,69.000000,69.550003,68.449997,69.550003,69.055206,505466
2017-05-04,69.800003,73.599998,69.300003,73.500000,72.977104,1552228
2017-05-05,74.500000,75.349998,74.050003,74.750000,74.218208,1299965
2017-05-08,75.300003,75.500000,73.650002,75.250000,74.714653,931520
2017-05-09,75.900002,78.449997,75.550003,78.000000,77.445091,1279102
2017-05-10,78.199997,78.300003,77.150002,77.300003,76.750076,726142
2017-05-11,77.900002,77.900002,75.599998,76.000000,75.459320,815856
2017-05-12,76.500000,76.500000,75.150002,76.500000,75.955765,673943
2017-05-15,77.199997,77.449997,76.250000,77.449997,76.899002,667223
2017-05-16,77.000000,77.449997,76.050003,76.500000,75.955765,752701
2017-05-17,76.150002,76.800003,74.800003,74.800003,74.267860,732922
2017-05-18,74.800003,76.000000,70.750000,76.000000,75.459320,1301364
2017-05-19,76.449997,76.500000,74.099998,74.500000,73.969986,764643
2017-05-22,74.699997,75.050003,73.650002,75.000000,74.466431,398894
2017-05-23,74.949997,75.550003,74.550003,75.500000,74.962875,512908
2017-05-24,75.949997,76.400002,75.099998,75.849998,75.310387,663749
2017-05-25,75.599998,76.449997,74.599998,75.949997,75.409668,542041
2017-05-26,76.000000,76.500000,75.250000,76.300003,75.757187,471602
2017-05-29,76.949997,77.349998,74.800003,74.800003,74.267860,559761
2017-05-30,74.199997,76.699997,74.050003,76.699997,76.154335,503188
2017-05-31,76.750000,77.300003,76.199997,77.000000,76.452202,929273
2017-06-01,76.750000,78.800003,76.750000,78.800003,78.239403,722251
2017-06-02,79.000000,80.400002,78.900002,80.250000,79.679085,705811
2017-06-05,80.000000,80.599998,79.349998,80.050003,79.480507,427358
2017-06-06,79.699997,80.849998,79.550003,80.750000,80.175529,538954
2017-06-07,80.500000,80.849998,80.050003,80.199997,79.629433,515953
2017-06-08,80.199997,82.900002,80.150002,81.550003,80.969841,913749
2017-06-09,81.900002,82.550003,81.300003,81.699997,81.118767,565941
2017-06-12,79.900002,80.699997,78.550003,78.550003,77.991180,1066178
2017-06-13,78.900002,79.500000,78.500000,78.849998,78.289040,589629
